record_id,location_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id
53,AkHa00465,AkHa00465224,"2021-01-01 16:28:00",1,0,3
54,HaRu17302,HaRu17302224,"2021-01-01 16:32:00",1,0,28
55,AmRu14425,AmRu14425224,"2021-01-01 16:32:00",1,0,36
56,HaSe21309,HaSe21309224,"2021-01-01 16:36:00",1,0,10
57,SoRu39241,SoRu39241224,"2021-01-01 16:40:00",1,0,7
58,KiRu30598,KiRu30598224,"2021-01-02 07:07:00",2,107,30
59,SoRu35008,SoRu35008224,"2021-01-02 07:27:00",2,248,1
60,HaRu19752,HaRu19752224,"2021-01-02 09:04:00",2,73,40
61,KiRu27248,KiRu27248224,"2021-01-02 11:02:00",2,167,26
62,KiRu26190,KiRu26190224,"2021-01-02 13:56:00",2,200,46
63,KiRu27248,KiRu27248224,"2021-01-03 09:41:00",3,103,26
64,HaRu19752,HaRu19752224,"2021-01-03 11:38:00",3,39,40
65,KiRu26190,KiRu26190224,"2021-01-03 12:00:00",3,112,46
66,KiRu30598,KiRu30598224,"2021-01-03 14:08:00",3,30,30
67,SoRu35008,SoRu35008224,"2021-01-03 14:31:00",3,104,1
68,KiRu30598,KiRu30598224,"2021-01-04 07:46:00",4,89,30
69,HaRu20773,HaRu20773224,"2021-01-04 09:08:00",1,0,42
70,HaRu19752,HaRu19752224,"2021-01-04 09:24:00",4,75,40
71,AmRu13250,AmRu13250224,"2021-01-04 09:34:00",1,0,16
72,AmRu15135,AmRu15135224,"2021-01-04 09:38:00",1,0,26
73,AkLu01584,AkLu01584224,"2021-01-04 09:46:00",1,0,18
74,SoRu39205,SoRu39205224,"2021-01-04 09:59:00",1,0,36
75,HaDj16683,HaDj16683224,"2021-01-04 10:16:00",1,0,6
76,AmRu14759,AmRu14759224,"2021-01-04 10:30:00",1,0,16
77,AmRu14584,AmRu14584224,"2021-01-04 10:39:00",1,0,30
78,KiZu31052,KiZu31052224,"2021-01-04 11:05:00",1,0,24
79,AmPw12286,AmPw12286224,"2021-01-04 11:16:00",1,24,30
80,HaRu18434,HaRu18434224,"2021-01-04 11:16:00",1,0,48
81,HaDe16379,HaDe16379224,"2021-01-04 11:21:00",1,0,5
82,HaRu18256,HaRu18256224,"2021-01-04 11:26:00",1,29,1
83,AkRu04914,AkRu04914224,"2021-01-04 11:35:00",1,0,40
84,HaSe20931,HaSe20931224,"2021-01-04 11:46:00",1,0,1
85,SoRu35008,SoRu35008224,"2021-01-04 12:12:00",4,165,1
86,AkRu04543,AkRu04543224,"2021-01-04 12:20:00",1,0,4
87,KiAm22119,KiAm22119224,"2021-01-04 12:34:00",1,0,36
88,AkLu02619,AkLu02619224,"2021-01-04 12:46:00",1,0,5
89,AmRu15066,AmRu15066224,"2021-01-04 12:47:00",1,0,28
90,SoRu37843,SoRu37843224,"2021-01-04 12:49:00",1,59,10
91,AkLu02211,AkLu02211224,"2021-01-04 12:49:00",1,0,30
92,AmRu15398,AmRu15398224,"2021-01-04 12:53:00",1,0,8
93,HaDe16499,HaDe16499224,"2021-01-04 12:53:00",1,0,8
94,SoRu39347,SoRu39347224,"2021-01-04 12:54:00",1,0,8
95,AmAm09579,AmAm09579224,"2021-01-04 13:02:00",1,0,3
96,HaRu17247,HaRu17247224,"2021-01-04 13:18:00",1,0,1
97,AkRu04602,AkRu04602224,"2021-01-04 14:02:00",1,0,36
98,KiMr25211,KiMr25211224,"2021-01-04 14:16:00",1,123,3
99,AkRu07283,AkRu07283224,"2021-01-04 14:19:00",1,0,30
100,SoCh32247,SoCh32247224,"2021-01-04 14:23:00",1,0,38
101,SoIl32868,SoIl32868224,"2021-01-04 14:29:00",1,0,8
102,SoKo33558,SoKo33558224,"2021-01-04 14:46:00",1,14,10
103,HaRu20738,HaRu20738224,"2021-01-04 14:57:00",1,0,0
104,AmAs10416,AmAs10416224,"2021-01-04 14:58:00",1,0,10
105,AkLu02115,AkLu02115224,"2021-01-04 15:03:00",1,0,5
106,KiRu27248,KiRu27248224,"2021-01-04 15:04:00",4,218,26
107,HaAm16229,HaAm16229224,"2021-01-04 15:10:00",1,0,18
108,HaRu20104,HaRu20104224,"2021-01-04 15:17:00",1,0,32
109,KiHa23405,KiHa23405224,"2021-01-04 15:29:00",1,0,38
110,SoRu37081,SoRu37081224,"2021-01-04 15:33:00",1,9,5
111,KiRu27870,KiRu27870224,"2021-01-04 15:46:00",1,0,10
112,HaYa21510,HaYa21510224,"2021-01-04 15:46:00",1,0,42
113,SoBa31534,SoBa31534224,"2021-01-04 15:50:00",1,0,48
114,AmDa11574,AmDa11574224,"2021-01-04 15:51:00",1,0,28
115,AkRu03074,AkRu03074224,"2021-01-04 15:51:00",1,0,42
116,SoRu37178,SoRu37178224,"2021-01-04 15:53:00",1,0,1
117,SoRu38743,SoRu38743224,"2021-01-04 15:56:00",1,0,12
118,AkRu04162,AkRu04162224,"2021-01-04 16:21:00",1,10,32
119,KiRu26395,KiRu26395224,"2021-01-04 16:21:00",1,0,48
120,HaDj16798,HaDj16798224,"2021-01-04 16:30:00",1,0,42
121,HaSe21113,HaSe21113224,"2021-01-04 16:31:00",1,14,46
122,AmAm09513,AmAm09513224,"2021-01-04 16:34:00",1,0,0
123,AmPw12464,AmPw12464224,"2021-01-04 16:34:00",1,0,5
124,AmRu15067,AmRu15067224,"2021-01-04 16:42:00",1,0,34
125,KiRu26713,KiRu26713224,"2021-01-04 16:52:00",1,0,34
126,KiRu26190,KiRu26190224,"2021-01-04 18:02:00",4,176,46
127,KiRu30598,KiRu30598224,"2021-01-05 07:58:00",5,29,30
128,SoRu35008,SoRu35008224,"2021-01-05 08:13:00",5,213,1
129,HaRu20701,HaRu20701224,"2021-01-05 09:01:00",1,0,46
130,AmRu13095,AmRu13095224,"2021-01-05 09:07:00",1,0,42
131,SoMa34243,SoMa34243224,"2021-01-05 09:17:00",1,0,48
132,AkRu08936,AkRu08936224,"2021-01-05 09:22:00",1,0,24
133,KiAm22120,KiAm22120224,"2021-01-05 09:23:00",1,0,3
134,AkRu03143,AkRu03143224,"2021-01-05 09:24:00",1,0,10
135,AkRu05323,AkRu05323224,"2021-01-05 09:25:00",1,21,5
136,SoRu34762,SoRu34762224,"2021-01-05 09:39:00",1,0,24
137,KiMr25211,KiMr25211224,"2021-01-05 09:47:00",2,64,3
138,AkRu06435,AkRu06435224,"2021-01-05 09:56:00",1,0,24
139,AkRu03586,AkRu03586224,"2021-01-05 10:12:00",1,0,10
140,KiHa22659,KiHa22659224,"2021-01-05 10:16:00",1,0,14
141,AmRu13188,AmRu13188224,"2021-01-05 10:22:00",1,0,5
142,AmBe11186,AmBe11186224,"2021-01-05 10:24:00",1,0,10
143,HaRu19986,HaRu19986224,"2021-01-05 10:25:00",1,22,34
144,HaRu19752,HaRu19752224,"2021-01-05 10:35:00",5,28,40
145,AmBe11166,AmBe11166224,"2021-01-05 10:46:00",1,19,40
146,SoRu38450,SoRu38450224,"2021-01-05 10:48:00",1,0,32
147,AkRu07166,AkRu07166224,"2021-01-05 10:59:00",1,0,10
148,SoRu35195,SoRu35195224,"2021-01-05 10:59:00",1,14,28
149,AmAm09743,AmAm09743224,"2021-01-05 11:06:00",1,0,38
150,KiZu30889,KiZu30889224,"2021-01-05 11:12:00",1,240,5
151,KiZu31287,KiZu31287224,"2021-01-05 11:17:00",1,0,48
152,KiRu30163,KiRu30163224,"2021-01-05 11:22:00",1,0,10
153,AmRu13238,AmRu13238224,"2021-01-05 11:26:00",1,0,10
154,KiRu26783,KiRu26783224,"2021-01-05 11:52:00",1,0,1
155,AkHa00209,AkHa00209224,"2021-01-05 11:52:00",1,0,30
156,KiIs23671,KiIs23671224,"2021-01-05 12:06:00",1,0,32
157,HaAm15937,HaAm15937224,"2021-01-05 12:09:00",1,42,36
158,AkHa00342,AkHa00342224,"2021-01-05 12:24:00",1,0,10
159,HaSe20900,HaSe20900224,"2021-01-05 12:40:00",1,0,0
160,KiIs23877,KiIs23877224,"2021-01-05 12:41:00",1,0,18
161,AmRu14190,AmRu14190224,"2021-01-05 12:49:00",1,0,1
162,SoBa31893,SoBa31893224,"2021-01-05 13:02:00",1,10,12
163,KiRu26584,KiRu26584224,"2021-01-05 13:10:00",1,0,48
164,AkRu08557,AkRu08557224,"2021-01-05 13:14:00",1,127,1
165,AmAs10613,AmAs10613224,"2021-01-05 13:24:00",1,24,48
166,AkLu02295,AkLu02295224,"2021-01-05 13:31:00",1,0,0
167,AkRu07845,AkRu07845224,"2021-01-05 13:52:00",1,0,24
168,AmAm09460,AmAm09460224,"2021-01-05 13:58:00",1,0,1
169,SoRu38103,SoRu38103224,"2021-01-05 14:00:00",1,0,36
170,KiMr25146,KiMr25146224,"2021-01-05 14:02:00",1,0,38
171,AkRu05911,AkRu05911224,"2021-01-05 14:04:00",1,145,38
172,HaRu20767,HaRu20767224,"2021-01-05 14:08:00",1,0,32
173,KiRu26837,KiRu26837224,"2021-01-05 14:09:00",1,0,30
174,KiRu25496,KiRu25496224,"2021-01-05 14:13:00",1,0,42
175,AmRu13229,AmRu13229224,"2021-01-05 14:17:00",1,0,24
176,KiRu25404,KiRu25404224,"2021-01-05 14:39:00",1,0,2
177,AmDa11668,AmDa11668224,"2021-01-05 14:41:00",1,0,1
178,SoRu35937,SoRu35937224,"2021-01-05 14:45:00",1,0,8
179,SoRu37843,SoRu37843224,"2021-01-05 14:59:00",2,56,10
180,AkKi01378,AkKi01378224,"2021-01-05 15:09:00",1,0,48
181,AkRu04918,AkRu04918224,"2021-01-05 15:10:00",1,0,3
182,KiRu25866,KiRu25866224,"2021-01-05 15:31:00",1,0,30
183,SoRu36745,SoRu36745224,"2021-01-05 15:34:00",1,25,48
184,KiRu28471,KiRu28471224,"2021-01-05 15:54:00",1,0,8
185,AkRu03880,AkRu03880224,"2021-01-05 16:08:00",1,0,1
186,HaRu19887,HaRu19887224,"2021-01-05 16:21:00",1,0,6
187,AmAb09243,AmAb09243224,"2021-01-05 16:22:00",1,0,8
188,KiHa23283,KiHa23283224,"2021-01-05 16:25:00",1,0,1
189,AkRu07713,AkRu07713224,"2021-01-05 16:27:00",1,0,28
190,AmAs10139,AmAs10139224,"2021-01-05 16:32:00",1,20,10
191,AmAm09813,AmAm09813224,"2021-01-05 16:40:00",1,27,0
192,HaRu19111,HaRu19111224,"2021-01-05 16:43:00",1,30,36
193,KiRu26190,KiRu26190224,"2021-01-05 16:46:00",5,175,46
194,AmAm09421,AmAm09421224,"2021-01-05 16:54:00",1,0,40
195,KiRu27248,KiRu27248224,"2021-01-05 17:36:00",5,226,26
196,KiRu30598,KiRu30598224,"2021-01-06 06:21:00",6,36,30
197,KiRu26190,KiRu26190224,"2021-01-06 07:06:00",6,80,46
198,AkRu04611,AkRu04611224,"2021-01-06 09:06:00",1,179,28
199,KiRu28064,KiRu28064224,"2021-01-06 09:10:00",1,5,42
200,HaRu18826,HaRu18826224,"2021-01-06 09:20:00",1,0,1
201,SoRu37761,SoRu37761224,"2021-01-06 09:28:00",1,10,46
202,AmBe11025,AmBe11025224,"2021-01-06 09:32:00",1,0,46
203,SoRu35485,SoRu35485224,"2021-01-06 09:43:00",1,30,38
204,AmRu14641,AmRu14641224,"2021-01-06 09:49:00",1,0,2
205,AmRu13013,AmRu13013224,"2021-01-06 10:06:00",1,0,5
206,KiRu27892,KiRu27892224,"2021-01-06 10:11:00",1,0,12
207,KiRu25465,KiRu25465224,"2021-01-06 10:15:00",1,0,5
208,AkRu07262,AkRu07262224,"2021-01-06 10:18:00",1,0,1
209,AmRu13090,AmRu13090224,"2021-01-06 10:19:00",1,0,46
210,AmRu15831,AmRu15831224,"2021-01-06 10:21:00",1,0,48
211,HaRu17749,HaRu17749224,"2021-01-06 10:38:00",1,0,30
212,SoKo33407,SoKo33407224,"2021-01-06 10:40:00",1,27,40
213,HaSe21277,HaSe21277224,"2021-01-06 10:46:00",1,0,30
214,HaRu17367,HaRu17367224,"2021-01-06 10:48:00",1,18,4
215,SoRu36167,SoRu36167224,"2021-01-06 10:52:00",1,0,16
216,AkRu07933,AkRu07933224,"2021-01-06 10:52:00",1,0,38
217,KiZu30889,KiZu30889224,"2021-01-06 10:54:00",2,242,5
218,HaDe16434,HaDe16434224,"2021-01-06 10:57:00",1,0,24
219,AkRu03750,AkRu03750224,"2021-01-06 10:57:00",1,23,34
220,AkHa00744,AkHa00744224,"2021-01-06 11:14:00",1,0,40
221,AmRu14536,AmRu14536224,"2021-01-06 11:17:00",1,167,34
222,AkHa00657,AkHa00657224,"2021-01-06 11:22:00",1,0,34
223,HaRu19752,HaRu19752224,"2021-01-06 11:25:00",6,39,40
224,AmRu13929,AmRu13929224,"2021-01-06 11:31:00",1,0,40
225,AkKi01036,AkKi01036224,"2021-01-06 11:40:00",1,0,3
226,AkRu08868,AkRu08868224,"2021-01-06 11:51:00",1,0,40
227,AmDa12147,AmDa12147224,"2021-01-06 12:02:00",1,18,7
228,AkHa00545,AkHa00545224,"2021-01-06 12:06:00",1,0,5
229,HaAm15937,HaAm15937224,"2021-01-06 12:22:00",2,24,36
230,HaDe16565,HaDe16565224,"2021-01-06 12:23:00",1,0,32
231,HaSe20883,HaSe20883224,"2021-01-06 12:33:00",1,0,32
232,KiMr25211,KiMr25211224,"2021-01-06 12:34:00",3,110,3
233,SoRu37469,SoRu37469224,"2021-01-06 12:36:00",1,0,5
234,AkRu06795,AkRu06795224,"2021-01-06 12:58:00",1,0,30
235,HaRu17787,HaRu17787224,"2021-01-06 13:06:00",1,23,38
236,AkRu05768,AkRu05768224,"2021-01-06 13:08:00",1,0,6
237,HaSe21258,HaSe21258224,"2021-01-06 13:15:00",1,0,2
238,KiMr24871,KiMr24871224,"2021-01-06 13:24:00",1,0,14
239,SoRu37832,SoRu37832224,"2021-01-06 13:50:00",1,0,36
240,AkRu07238,AkRu07238224,"2021-01-06 13:55:00",1,0,3
241,AmRu13194,AmRu13194224,"2021-01-06 14:00:00",1,0,12
242,SoRu37861,SoRu37861224,"2021-01-06 14:01:00",1,0,34
243,KiRu29268,KiRu29268224,"2021-01-06 14:17:00",1,0,12
244,KiRu30187,KiRu30187224,"2021-01-06 14:21:00",1,0,10
245,SoRu37843,SoRu37843224,"2021-01-06 14:24:00",3,32,10
246,KiMr25057,KiMr25057224,"2021-01-06 14:28:00",1,0,48
247,AkRu04348,AkRu04348224,"2021-01-06 14:30:00",1,0,28
248,SoMa33816,SoMa33816224,"2021-01-06 14:31:00",1,0,32
249,KiZu31261,KiZu31261224,"2021-01-06 14:34:00",1,0,12
250,HaRu19199,HaRu19199224,"2021-01-06 14:45:00",1,0,30
251,KiRu29696,KiRu29696224,"2021-01-06 14:47:00",1,0,1
252,SoRu35819,SoRu35819224,"2021-01-06 14:54:00",1,240,42
253,KiRu27248,KiRu27248224,"2021-01-06 14:59:00",6,94,26
254,KiRu26106,KiRu26106224,"2021-01-06 14:59:00",1,0,5
255,KiRu29941,KiRu29941224,"2021-01-06 15:02:00",1,240,30
256,KiRu27423,KiRu27423224,"2021-01-06 15:05:00",1,0,30
257,KiRu27300,KiRu27300224,"2021-01-06 15:10:00",1,25,24
258,AmAb09323,AmAb09323224,"2021-01-06 15:21:00",1,0,36
259,AkRu03330,AkRu03330224,"2021-01-06 15:28:00",1,27,34
260,HaRu18078,HaRu18078224,"2021-01-06 15:35:00",1,0,2
261,AmDa11812,AmDa11812224,"2021-01-06 15:40:00",1,40,8
262,AkRu05911,AkRu05911224,"2021-01-06 15:47:00",2,70,38
263,SoRu35008,SoRu35008224,"2021-01-06 15:48:00",6,93,1
264,KiZu31061,KiZu31061224,"2021-01-06 15:49:00",1,0,34
265,AmRu13762,AmRu13762224,"2021-01-06 15:51:00",1,0,1
266,AkHa00555,AkHa00555224,"2021-01-06 16:19:00",1,0,34
267,KiIs24152,KiIs24152224,"2021-01-06 16:40:00",1,0,26
268,KiRu29471,KiRu29471224,"2021-01-06 16:49:00",1,100,8
269,AkRu08557,AkRu08557224,"2021-01-06 18:55:00",2,48,1
270,SoRu35819,SoRu35819224,"2021-01-07 06:46:00",2,208,42
271,AkRu08557,AkRu08557224,"2021-01-07 07:11:00",3,99,1
272,AmDa11812,AmDa11812224,"2021-01-07 07:31:00",2,31,8
273,HaAm15937,HaAm15937224,"2021-01-07 07:53:00",3,28,36
274,KiRu26190,KiRu26190224,"2021-01-07 08:37:00",7,82,46
275,AkRu03181,AkRu03181224,"2021-01-07 09:01:00",1,0,3
276,AmAb09112,AmAb09112224,"2021-01-07 09:10:00",1,0,32
277,SoRu35782,SoRu35782224,"2021-01-07 09:13:00",1,0,48
278,KiRu25626,KiRu25626224,"2021-01-07 09:14:00",1,0,30
279,SoBa31799,SoBa31799224,"2021-01-07 09:16:00",1,0,28
280,AkRu06736,AkRu06736224,"2021-01-07 09:17:00",1,0,12
281,SoKo33085,SoKo33085224,"2021-01-07 09:18:00",1,0,10
282,SoRu36310,SoRu36310224,"2021-01-07 09:20:00",1,0,40
283,KiMr25119,KiMr25119224,"2021-01-07 09:21:00",1,0,7
284,KiRu27509,KiRu27509224,"2021-01-07 09:22:00",1,146,40
285,AmDa11935,AmDa11935224,"2021-01-07 09:42:00",1,0,7
286,AkRu06489,AkRu06489224,"2021-01-07 09:44:00",1,0,6
287,KiRu29471,KiRu29471224,"2021-01-07 09:48:00",2,85,8
288,AkLu02252,AkLu02252224,"2021-01-07 09:53:00",1,0,18
289,AkRu05911,AkRu05911224,"2021-01-07 10:02:00",3,104,38
290,AkRu06588,AkRu06588224,"2021-01-07 10:03:00",1,0,48
291,AmPw12284,AmPw12284224,"2021-01-07 10:08:00",1,0,42
292,KiRu27553,KiRu27553224,"2021-01-07 10:10:00",1,0,10
293,AmAs10336,AmAs10336224,"2021-01-07 10:12:00",1,114,46
294,SoRu36464,SoRu36464224,"2021-01-07 10:15:00",1,0,1
295,AkKi01340,AkKi01340224,"2021-01-07 10:32:00",1,0,30
296,HaRu17566,HaRu17566224,"2021-01-07 10:49:00",1,0,34
297,KiRu25367,KiRu25367224,"2021-01-07 11:04:00",1,0,44
298,AmAm09372,AmAm09372224,"2021-01-07 11:12:00",1,0,24
299,AmAm09503,AmAm09503224,"2021-01-07 11:13:00",1,0,8
300,SoCh31936,SoCh31936224,"2021-01-07 11:19:00",1,0,10
301,AkRu03495,AkRu03495224,"2021-01-07 11:21:00",1,135,1
302,SoRu35868,SoRu35868224,"2021-01-07 11:32:00",1,0,30
303,KiRu27574,KiRu27574224,"2021-01-07 11:41:00",1,0,8
304,KiRu26516,KiRu26516224,"2021-01-07 11:42:00",1,0,12
305,AkRu04804,AkRu04804224,"2021-01-07 11:50:00",1,0,34
306,SoKo33269,SoKo33269224,"2021-01-07 11:50:00",1,0,8
307,HaRu19752,HaRu19752224,"2021-01-07 12:03:00",7,28,40
308,KiRu29881,KiRu29881224,"2021-01-07 12:08:00",1,0,28
309,SoIl32599,SoIl32599224,"2021-01-07 12:11:00",1,0,30
310,AmRu14536,AmRu14536224,"2021-01-07 12:12:00",2,118,34
311,KiRu27248,KiRu27248224,"2021-01-07 12:13:00",7,229,26
312,KiZu30889,KiZu30889224,"2021-01-07 12:20:00",3,226,5
313,SoRu37843,SoRu37843224,"2021-01-07 12:20:00",4,52,10
314,HaRu19054,HaRu19054224,"2021-01-07 12:28:00",1,0,40
315,KiRu26681,KiRu26681224,"2021-01-07 12:30:00",1,0,30
316,AkRu06446,AkRu06446224,"2021-01-07 12:36:00",1,0,36
317,KiMr25211,KiMr25211224,"2021-01-07 12:52:00",4,57,3
318,SoRu35008,SoRu35008224,"2021-01-07 12:53:00",7,174,1
319,AkHa00720,AkHa00720224,"2021-01-07 13:17:00",1,0,12
320,HaRu17250,HaRu17250224,"2021-01-07 13:18:00",1,0,40
321,SoRu37976,SoRu37976224,"2021-01-07 13:29:00",1,0,4
322,KiRu29735,KiRu29735224,"2021-01-07 13:29:00",1,0,10
323,HaRu18169,HaRu18169224,"2021-01-07 13:41:00",1,0,36
324,KiZu30942,KiZu30942224,"2021-01-07 13:47:00",1,19,28
325,AkLu02126,AkLu02126224,"2021-01-07 14:02:00",1,0,3
326,AmDa11595,AmDa11595224,"2021-01-07 14:03:00",1,0,1
327,KiRu26789,KiRu26789224,"2021-01-07 14:14:00",1,0,18
328,KiRu27964,KiRu27964224,"2021-01-07 14:20:00",1,28,8
329,AkLu01843,AkLu01843224,"2021-01-07 14:28:00",1,0,5
330,KiZu31025,KiZu31025224,"2021-01-07 14:36:00",1,0,28
331,KiAm22569,KiAm22569224,"2021-01-07 14:38:00",1,0,40
332,KiRu29941,KiRu29941224,"2021-01-07 14:42:00",2,250,30
333,AmRu14860,AmRu14860224,"2021-01-07 14:50:00",1,0,3
334,HaRu17281,HaRu17281224,"2021-01-07 14:59:00",1,0,5
335,AmAb09051,AmAb09051224,"2021-01-07 15:06:00",1,0,6
336,AkRu04611,AkRu04611224,"2021-01-07 15:10:00",2,194,28
337,KiRu29286,KiRu29286224,"2021-01-07 15:11:00",1,0,44
338,SoMa34088,SoMa34088224,"2021-01-07 15:13:00",1,133,0
339,AkRu07378,AkRu07378224,"2021-01-07 15:17:00",1,0,34
340,HaAm16288,HaAm16288224,"2021-01-07 15:27:00",1,0,18
341,AmDa11770,AmDa11770224,"2021-01-07 15:41:00",1,0,32
342,AmAb09174,AmAb09174224,"2021-01-07 15:58:00",1,0,40
343,AkRu08204,AkRu08204224,"2021-01-07 16:05:00",1,0,5
344,KiRu29107,KiRu29107224,"2021-01-07 16:10:00",1,0,0
345,SoRu38429,SoRu38429224,"2021-01-07 16:12:00",1,14,8
346,SoRu37790,SoRu37790224,"2021-01-07 16:30:00",1,7,42
347,KiHa23382,KiHa23382224,"2021-01-07 16:48:00",1,0,1
348,HaDe16509,HaDe16509224,"2021-01-07 16:49:00",1,0,30
349,AkRu08423,AkRu08423224,"2021-01-07 16:49:00",1,0,5
350,SoBa31580,SoBa31580224,"2021-01-07 16:55:00",1,0,44
351,KiRu30598,KiRu30598224,"2021-01-07 17:56:00",7,46,30
352,HaRu19752,HaRu19752224,"2021-01-08 06:24:00",8,87,40
353,KiRu27509,KiRu27509224,"2021-01-08 06:27:00",2,138,40
354,KiRu29941,KiRu29941224,"2021-01-08 07:09:00",3,250,30
355,KiRu26190,KiRu26190224,"2021-01-08 07:47:00",8,217,46
356,HaAm15937,HaAm15937224,"2021-01-08 08:43:00",4,21,36
357,AmRu14536,AmRu14536224,"2021-01-08 08:48:00",3,201,34
358,AkRu08557,AkRu08557224,"2021-01-08 08:53:00",4,144,1
359,KiHa22644,KiHa22644224,"2021-01-08 09:04:00",1,0,0
360,AmAs10534,AmAs10534224,"2021-01-08 09:05:00",1,0,26
361,AkRu04611,AkRu04611224,"2021-01-08 09:10:00",3,210,28
362,HaRu19788,HaRu19788224,"2021-01-08 09:16:00",1,0,1
363,AmAs10336,AmAs10336224,"2021-01-08 09:18:00",2,119,46
364,HaYa21569,HaYa21569224,"2021-01-08 09:58:00",1,0,10
365,KiRu29931,KiRu29931224,"2021-01-08 10:03:00",1,21,30
366,KiRu27352,KiRu27352224,"2021-01-08 10:05:00",1,10,18
367,AmRu14471,AmRu14471224,"2021-01-08 10:07:00",1,0,30
368,AmRu14187,AmRu14187224,"2021-01-08 10:08:00",1,0,12
369,AmRu14687,AmRu14687224,"2021-01-08 10:19:00",1,30,30
370,KiRu28027,KiRu28027224,"2021-01-08 10:20:00",1,0,5
371,HaAm16131,HaAm16131224,"2021-01-08 10:29:00",1,0,26
372,HaSe21227,HaSe21227224,"2021-01-08 10:33:00",1,0,5
373,KiIs24000,KiIs24000224,"2021-01-08 10:33:00",1,0,10
374,KiRu28560,KiRu28560224,"2021-01-08 10:36:00",1,0,1
375,KiMr24780,KiMr24780224,"2021-01-08 10:40:00",1,0,18
