source_id,date,description,pollutant_ppm,biological,results
AkRu03181224,"2021-01-10 09:01:00","Inorganic contaminants: Lead",8.90527,0,"Contaminated: Chemical"
SoRu35782224,"2021-01-10 09:13:00","Inorganic contaminants: Chromium, Zinc",1.17639,0,"Contaminated: Chemical"
SoBa31799224,"2021-01-10 09:16:00","Bacteria: E. coli",0,12.1674,"Contaminated: Biological"
SoKo33085224,"2021-01-10 09:18:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AkRu06489224,"2021-01-10 09:44:00","Clean Bacteria: Giardia Lamblia",0.0897904,38.467,Clean
AkRu06588224,"2021-01-10 10:03:00",Clean,0.082105,0.000040181,Clean
KiRu27553224,"2021-01-10 10:10:00","Inorganic contaminants: Mercury, Arsenic, Cadmium, Copper",1.01623,0,"Contaminated: Chemical"
SoRu36464224,"2021-01-10 10:15:00",Clean,0.0231531,0.0000637108,Clean
AkKi01340224,"2021-01-10 10:32:00","Inorganic contaminants: Mercury, Barium",6.21727,0,"Contaminated: Chemical"
SoRu35868224,"2021-01-10 11:32:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
KiRu27574224,"2021-01-10 11:41:00",Clean,0.0356204,0.0000980107,Clean
KiRu26516224,"2021-01-10 11:42:00","Inorganic contaminants: Lead",3.30184,0,"Contaminated: Chemical"
AkRu04804224,"2021-01-10 11:50:00",Clean,0.0716538,0.0000989214,Clean
KiRu29881224,"2021-01-10 12:08:00",Clean,0.0739334,0.000000574722,Clean
HaRu19054224,"2021-01-10 12:28:00","Inorganic contaminants: Lead",9.60353,0,"Contaminated: Chemical"
AkRu06446224,"2021-01-10 12:36:00","Inorganic contaminants: Lead, Silver, Zinc, Zinc",3.14474,0,"Contaminated: Chemical"
AkHa00720224,"2021-01-10 13:17:00","Inorganic contaminants: Lead, Silver, Silver",4.05258,0,"Contaminated: Chemical"
HaRu17250224,"2021-01-10 13:18:00","Inorganic contaminants: Selenium",5.75138,0,"Contaminated: Chemical"
SoRu37976224,"2021-01-10 13:29:00",Clean,0.0766173,0.00000610948,Clean
KiRu29735224,"2021-01-10 13:29:00","Inorganic contaminants: Copper, Silver, Copper",3.39177,0,"Contaminated: Chemical"
HaRu18169224,"2021-01-10 13:41:00","Inorganic contaminants: Zinc, Arsenic, Lead",3.775,0,"Contaminated: Chemical"
AkLu01843224,"2021-01-10 14:28:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
KiZu31025224,"2021-01-10 14:36:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
HaRu17281224,"2021-01-10 14:59:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
KiRu29286224,"2021-01-10 15:11:00",Clean,0.0645078,0.0000288232,Clean
AkRu07378224,"2021-01-10 15:17:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
AmAb09174224,"2021-01-10 15:58:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
KiRu29107224,"2021-01-10 16:10:00",Clean,0.0806449,0.0000257877,Clean
KiHa23382224,"2021-01-10 16:48:00","Inorganic contaminants: Zinc, Chromium, Chromium, Zinc",3.42129,0,"Contaminated: Chemical"
HaDe16509224,"2021-01-10 16:49:00","Bacteria: E. coli",0,45.6479,"Contaminated: Biological"
AkRu08423224,"2021-01-10 16:49:00",Clean,0.0335904,0.0000424688,Clean
KiHa22644224,"2021-01-11 09:04:00","Bacteria: E. coli",0,41.7373,"Contaminated: Biological"
HaRu19788224,"2021-01-11 09:16:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
HaYa21569224,"2021-01-11 09:58:00","Inorganic contaminants: Chromium, Mercury",7.90732,0,"Contaminated: Chemical"
AmRu14471224,"2021-01-11 10:07:00",Clean,0.072325,0.0000349809,Clean
KiRu28027224,"2021-01-11 10:20:00","Inorganic contaminants: Chromium, Chromium, Zinc, Cadmium",3.0002,0,"Contaminated: Chemical"
HaSe21227224,"2021-01-11 10:33:00",Clean,0.0417335,0.0000474981,Clean
KiIs24000224,"2021-01-11 10:33:00","Bacteria: E. coli",0,21.7428,"Contaminated: Biological"
KiRu28560224,"2021-01-11 10:36:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
AkRu07336224,"2021-01-11 10:50:00",Clean,0.0852829,0.0000325477,Clean
AmRu15108224,"2021-01-11 11:43:00",Clean,0.0737846,0.0000202442,Clean
SoRu38539224,"2021-01-11 11:57:00","Inorganic contaminants: Cadmium, Lead",2.53453,0,"Contaminated: Chemical"
AkLu01724224,"2021-01-11 11:58:00",Clean,0.0905594,0.00000357788,Clean
SoKo33099224,"2021-01-11 12:01:00","Bacteria: E. coli",0,33.5022,"Contaminated: Biological"
SoRu36015224,"2021-01-11 12:24:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
AkRu08461224,"2021-01-11 12:52:00",Clean,0.0590685,0.0000571569,Clean
AkRu07777224,"2021-01-11 13:09:00","Inorganic contaminants: Selenium, Chromium, Cadmium, Arsenic",4.23468,0,"Contaminated: Chemical"
KiMr25237224,"2021-01-11 14:03:00","Bacteria: E. coli",0,2.2825,"Contaminated: Biological"
KiAm22506224,"2021-01-11 14:18:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
AkRu03824224,"2021-01-11 14:37:00","Inorganic contaminants: Mercury, Silver, Chromium",7.80671,0,"Contaminated: Chemical"
HaDj16669224,"2021-01-11 15:08:00","Inorganic contaminants: Selenium, Lead, Mercury, Copper",9.17495,0,"Contaminated: Chemical"
KiAm22029224,"2021-01-11 15:28:00","Bacteria: Vibrio cholerae",0,182.88,"Contaminated: Biological"
AkLu02631224,"2021-01-11 15:42:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
SoKo33117224,"2021-01-11 16:16:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
AmDa12215224,"2021-01-11 16:19:00","Inorganic contaminants: Selenium",2.90509,0,"Contaminated: Chemical"
HaRu18270224,"2021-01-11 16:23:00",Clean,0.0779955,0.0000750507,Clean
HaRu19953224,"2021-01-11 16:24:00",Clean,0.0994519,0.0000037831,Clean
AmRu14093224,"2021-01-11 16:35:00","Inorganic contaminants: Barium, Copper",8.54974,0,"Contaminated: Chemical"
SoIl32783224,"2021-01-14 09:01:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
KiAm22435224,"2021-01-14 09:40:00","Bacteria: E. coli",0,10.9059,"Contaminated: Biological"
SoRu39284224,"2021-01-14 10:02:00","Inorganic contaminants: Selenium, Selenium, Chromium",7.22682,0,"Contaminated: Chemical"
AkRu08079224,"2021-01-14 10:32:00",Clean,0.0390617,0.0000937632,Clean
KiZu30767224,"2021-01-14 10:33:00",Clean,0.0537728,0.0000574669,Clean
SoRu39059224,"2021-01-14 11:01:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
AmRu14320224,"2021-01-14 11:29:00","Inorganic contaminants: Mercury",5.73406,0,"Contaminated: Chemical"
HaYa21472224,"2021-01-14 11:58:00","Inorganic contaminants: Copper",6.97992,0,"Contaminated: Chemical"
HaRu18653224,"2021-01-14 12:05:00","Inorganic contaminants: Lead, Silver, Barium",1.0886,0,"Contaminated: Chemical"
AkRu07205224,"2021-01-14 12:27:00",Clean,0.0554037,0.00000604487,Clean
AkLu02624224,"2021-01-14 12:28:00",Clean,0.0156032,0.0000578236,Clean
SoRu37764224,"2021-01-14 13:49:00","Inorganic contaminants: Lead, Cadmium, Barium, Zinc",3.63726,0,"Contaminated: Chemical"
AkLu02027224,"2021-01-14 13:55:00",Clean,0.0353978,0.0000709835,Clean
AmRu15874224,"2021-01-14 13:58:00","Inorganic contaminants: Selenium",5.5964,0,"Contaminated: Chemical"
HaRu18534224,"2021-01-14 14:01:00","Inorganic contaminants: Mercury, Zinc, Chromium",9.87175,0,"Contaminated: Chemical"
KiRu30250224,"2021-01-14 14:10:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AkRu05653224,"2021-01-14 14:26:00","Inorganic contaminants: Zinc, Lead, Zinc",1.44878,0,"Contaminated: Chemical"
KiIs24201224,"2021-01-14 14:52:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
SoIl32316224,"2021-01-14 15:08:00","Inorganic contaminants: Chromium",6.77138,0,"Contaminated: Chemical"
AmRu14855224,"2021-01-14 15:14:00","Inorganic contaminants: Selenium, Silver, Lead, Silver",1.18561,0,"Contaminated: Chemical"
SoRu38011224,"2021-01-14 15:35:00","Bacteria: E. coli",0.0425095,19.2897,Clean
AkKi00956224,"2021-01-14 15:51:00",Clean,0.0570491,0.0000942824,Clean
AkRu07593224,"2021-01-14 16:03:00",Clean,0.0616449,0.0000270725,Clean
KiAm22595224,"2021-01-14 16:11:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
SoKo33490224,"2021-01-14 16:19:00",Clean,0.0891103,0.000052515,Clean
HaRu20399224,"2021-01-14 16:27:00","Inorganic contaminants: Selenium, Barium, Silver",8.08959,0,"Contaminated: Chemical"
SoRu35787224,"2021-01-14 16:35:00","Inorganic contaminants: Silver, Barium, Arsenic, Mercury",6.46868,0,"Contaminated: Chemical"
KiRu27475224,"2021-01-14 16:44:00","Inorganic contaminants: Cadmium",5.22919,0,"Contaminated: Chemical"
HaRu18624224,"2021-01-15 09:13:00","Inorganic contaminants: Selenium",9.14739,0,"Contaminated: Chemical"
SoIl32438224,"2021-01-15 09:27:00","Inorganic contaminants: Barium, Zinc, Lead, Mercury",7.55974,0,"Contaminated: Chemical"
SoRu35626224,"2021-01-15 09:46:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
KiIs24134224,"2021-01-15 09:52:00","Bacteria: E. coli",0,47.6822,"Contaminated: Biological"
AkRu06865224,"2021-01-15 10:44:00",Clean,0.0290103,0.0000813575,Clean
SoCh32221224,"2021-01-15 10:45:00",Clean,0.0224974,0.0000492424,Clean
KiMr24409224,"2021-01-15 10:55:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
AkLu02603224,"2021-01-15 11:21:00","Bacteria: Vibrio cholerae",0,182.88,"Contaminated: Biological"
KiRu26397224,"2021-01-15 11:24:00",Clean,0.0273801,0.00000213955,Clean
AkRu04050224,"2021-01-15 11:28:00","Inorganic contaminants: Arsenic, Copper",7.68968,0,"Contaminated: Chemical"
KiRu30227224,"2021-01-15 11:30:00","Inorganic contaminants: Lead, Mercury",7.73566,0,"Contaminated: Chemical"
AkKi01415224,"2021-01-15 11:33:00","Inorganic contaminants: Chromium",7.12503,0,"Contaminated: Chemical"
AkRu06897224,"2021-01-15 11:38:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
KiIs24157224,"2021-01-15 12:23:00",Clean,0.0720096,0.0000629706,Clean
KiMr24370224,"2021-01-15 12:23:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
SoRu35656224,"2021-01-15 12:28:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
KiRu30623224,"2021-01-15 12:37:00","Inorganic contaminants: Cadmium, Silver, Arsenic, Barium",7.84951,0,"Contaminated: Chemical"
HaAm16100224,"2021-01-15 12:54:00","Inorganic contaminants: Lead",6.29586,0,"Contaminated: Chemical"
AmDa11899224,"2021-01-15 12:54:00","Inorganic contaminants: Cadmium, Silver",5.07338,0,"Contaminated: Chemical"
AkLu02519224,"2021-01-15 13:35:00","Inorganic contaminants: Zinc, Selenium, Cadmium, Chromium",7.07081,0,"Contaminated: Chemical"
KiMr24477224,"2021-01-15 13:49:00","Inorganic contaminants: Barium, Selenium, Silver, Barium",6.11705,0,"Contaminated: Chemical"
AkRu08902224,"2021-01-15 13:57:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
KiRu26690224,"2021-01-15 14:06:00",Clean,0.0238157,0.00000843447,Clean
SoRu37335224,"2021-01-15 14:51:00","Inorganic contaminants: Zinc, Chromium, Silver, Silver",9.94108,0,"Contaminated: Chemical"
KiAm22466224,"2021-01-15 15:16:00","Bacteria: Vibrio cholerae",0,182.88,"Contaminated: Biological"
KiIs24216224,"2021-01-15 15:23:00","Inorganic contaminants: Silver, Lead",9.41989,0,"Contaminated: Chemical"
KiRu25865224,"2021-01-15 15:34:00",Clean,0.0636227,0.0000532605,Clean
AmRu13745224,"2021-01-15 16:00:00",Clean,0.0499675,0.0000409989,Clean
HaRu19301224,"2021-01-15 16:09:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
AkRu07809224,"2021-01-15 16:18:00",Clean,0.0790458,0.0000452131,Clean
HaRu20279224,"2021-01-16 09:43:00",Clean,0.0508663,0.00000306866,Clean
KiRu28623224,"2021-01-16 10:21:00","Bacteria: E. coli",0,5.69337,"Contaminated: Biological"
AkRu08226224,"2021-01-16 10:32:00",Clean,0.0278835,0.0000797041,Clean
KiAm22458224,"2021-01-16 10:50:00","Inorganic contaminants: Chromium",6.24849,0,"Contaminated: Chemical"
AkRu06525224,"2021-01-16 10:55:00","Inorganic contaminants: Arsenic, Chromium, Mercury, Silver",2.62397,0,"Contaminated: Chemical"
HaRu19140224,"2021-01-16 11:02:00","Bacteria: Vibrio cholerae",0,182.88,"Contaminated: Biological"
AmRu15014224,"2021-01-16 11:07:00","Inorganic contaminants: Lead, Cadmium, Barium",2.97674,0,"Contaminated: Chemical"
AmAs10811224,"2021-01-16 11:27:00",Clean,0.0584376,0.0000893145,Clean
KiRu25399224,"2021-01-16 11:39:00",Clean,0.0909659,0.00000746033,Clean
AmRu13253224,"2021-01-16 11:51:00",Clean,0.0741615,0.0000693581,Clean
KiRu25422224,"2021-01-16 12:17:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
KiRu30503224,"2021-01-16 12:35:00","Inorganic contaminants: Lead, Chromium, Copper",6.1822,0,"Contaminated: Chemical"
HaDj16966224,"2021-01-16 12:39:00","Inorganic contaminants: Copper, Zinc, Chromium",5.48888,0,"Contaminated: Chemical"
KiRu30367224,"2021-01-16 12:57:00",Clean,0.0636818,0.0000244095,Clean
HaSe21155224,"2021-01-16 13:37:00",Clean,0.0629153,0.000013973,Clean
SoRu36575224,"2021-01-16 13:41:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
HaRu20522224,"2021-01-16 14:21:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
KiMr24574224,"2021-01-16 14:51:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
SoRu38598224,"2021-01-16 15:03:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AkKi01118224,"2021-01-16 16:09:00","Bacteria: E. coli",0,35.4201,"Contaminated: Biological"
HaRu17300224,"2021-01-16 16:47:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
AkRu03971224,"2021-01-16 16:52:00",Clean,0.0661429,0.0000966366,Clean
SoRu35499224,"2021-01-17 09:13:00","Inorganic contaminants: Lead",4.78707,0,"Contaminated: Chemical"
HaSe21055224,"2021-01-17 09:18:00",Clean,0.038537,0.0000412642,Clean
KiRu25542224,"2021-01-17 09:45:00","Inorganic contaminants: Zinc, Copper, Selenium, Copper",1.57204,0,"Contaminated: Chemical"
AkRu03812224,"2021-01-17 10:11:00","Inorganic contaminants: Copper",4.53513,0,"Contaminated: Chemical"
KiAm21953224,"2021-01-17 10:23:00","Inorganic contaminants: Mercury, Copper, Arsenic",7.83861,0,"Contaminated: Chemical"
AkRu05433224,"2021-01-17 10:54:00","Inorganic contaminants: Zinc, Zinc",7.92969,0,"Contaminated: Chemical"
AkRu04210224,"2021-01-17 11:09:00","Inorganic contaminants: Zinc, Mercury, Lead",7.36311,0,"Contaminated: Chemical"
KiZu31088224,"2021-01-17 11:40:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
KiRu27844224,"2021-01-17 12:08:00","Inorganic contaminants: Lead, Cadmium, Zinc",6.36837,0,"Contaminated: Chemical"
SoRu37168224,"2021-01-17 13:11:00","Inorganic contaminants: Lead, Mercury, Lead",3.40367,0,"Contaminated: Chemical"
AkRu02991224,"2021-01-17 13:12:00","Inorganic contaminants: Zinc, Chromium, Selenium",3.20541,0,"Contaminated: Chemical"
SoRu36665224,"2021-01-17 13:21:00","Bacteria: E. coli",0,10.0204,"Contaminated: Biological"
AmRu13868224,"2021-01-17 13:32:00",Clean,0.0638814,0.0000164109,Clean
AkRu05426224,"2021-01-17 14:19:00",Clean,0.0168935,0.0000582621,Clean
HaRu18425224,"2021-01-17 14:48:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
SoCh32157224,"2021-01-17 15:02:00","Inorganic contaminants: Cadmium, Barium, Arsenic, Lead",6.46589,0,"Contaminated: Chemical"
AmRu13190224,"2021-01-17 15:27:00",Clean,0.0105334,0.0000420778,Clean
HaSe21183224,"2021-01-17 16:03:00",Clean,0.0392653,0.0000356027,Clean
AkRu07487224,"2021-01-17 16:04:00","Inorganic contaminants: Selenium, Chromium, Mercury",6.08516,0,"Contaminated: Chemical"
KiIs23896224,"2021-01-17 16:21:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
SoRu36568224,"2021-01-17 16:23:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
AmAm09867224,"2021-01-17 16:25:00","Inorganic contaminants: Copper",1.82069,0,"Contaminated: Chemical"
AmRu13885224,"2021-01-18 09:19:00","Inorganic contaminants: Zinc, Chromium",8.01733,0,"Contaminated: Chemical"
AkLu02615224,"2021-01-18 09:19:00",Clean,0.029639,0.00005178,Clean
HaRu19654224,"2021-01-18 09:29:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
KiHa23423224,"2021-01-18 09:37:00","Bacteria: E. coli",0,43.8418,"Contaminated: Biological"
SoRu39300224,"2021-01-18 09:39:00",Clean,0.0701769,0.0000520919,Clean
SoRu35543224,"2021-01-18 09:49:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
HaAm16014224,"2021-01-18 09:59:00","Inorganic contaminants: Cadmium, Zinc, Lead, Silver",7.28506,0,"Contaminated: Chemical"
KiMr24963224,"2021-01-18 10:20:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
