source_id,type_of_water_source,number_of_people_served
AkHa00080224,tap_in_home,880
AkHa00081224,well,318
AkHa00082224,tap_in_home_broken,322
AkHa00083224,tap_in_home_broken,744
AkHa00084224,shared_tap,322
AkHa00085224,well,346
AkHa00086224,well,206
AkHa00087224,well,288
AkHa00088224,well,354
AkHa00089224,well,268
AkHa00090224,shared_tap,308
AkHa00091224,well,350
AkHa00092224,well,166
AkHa00093224,well,324
AkHa00094224,tap_in_home,672
AkHa00095224,tap_in_home_broken,654
AkHa00096224,well,184
AkHa00097224,tap_in_home,538
AkHa00098224,well,390
AkHa00099224,tap_in_home,306
AkHa00100224,tap_in_home_broken,504
AkHa00101224,tap_in_home_broken,332
AkHa00102224,tap_in_home,690
AkHa00103224,shared_tap,3340
AkHa00104224,tap_in_home_broken,398
AkHa00105224,well,324
AkHa00106224,well,190
AkHa00107224,tap_in_home_broken,370
AkHa00108224,well,272
AkHa00109224,tap_in_home,444
AkHa00110224,well,392
AkHa00111224,tap_in_home,638
AkHa00112224,tap_in_home,454
AkHa00113224,well,208
AkHa00114224,tap_in_home,502
AkHa00115224,tap_in_home,554
AkHa00116224,tap_in_home_broken,378
AkHa00117224,well,228
AkHa00118224,well,344
AkHa00119224,well,390
AkHa00120224,tap_in_home_broken,668
AkHa00121224,well,190
AkHa00122224,tap_in_home,920
AkHa00123224,well,396
AkHa00124224,well,240
AkHa00125224,well,242
AkHa00126224,well,314
AkHa00127224,tap_in_home,366
AkHa00128224,well,356
AkHa00129224,well,346
AkHa00130224,well,318
AkHa00131224,tap_in_home_broken,930
AkHa00132224,well,286
AkHa00133224,well,388
AkHa00134224,well,316
AkHa00135224,well,268
AkHa00136224,well,380
AkHa00137224,shared_tap,3198
AkHa00138224,tap_in_home_broken,418
AkHa00139224,well,394
AkHa00140224,tap_in_home,570
AkHa00141224,well,228
AkHa00142224,tap_in_home_broken,422
AkHa00143224,well,244
AkHa00144224,tap_in_home,404
AkHa00145224,tap_in_home_broken,684
AkHa00146224,tap_in_home,636
AkHa00147224,tap_in_home,544
AkHa00148224,well,206
AkHa00149224,well,324
AkHa00150224,well,338
AkHa00151224,well,258
AkHa00152224,well,336
AkHa00153224,well,374
AkHa00154224,well,188
AkHa00155224,well,388
AkHa00156224,well,248
AkHa00157224,well,228
AkHa00158224,shared_tap,2056
AkHa00159224,tap_in_home_broken,890
AkHa00160224,well,344
AkHa00161224,tap_in_home,726
AkHa00162224,tap_in_home,792
AkHa00163224,well,388
AkHa00164224,tap_in_home_broken,732
AkHa00165224,tap_in_home_broken,996
AkHa00166224,tap_in_home_broken,522
AkHa00167224,well,176
AkHa00168224,tap_in_home_broken,830
AkHa00169224,tap_in_home,618
AkHa00170224,tap_in_home_broken,992
AkHa00171224,tap_in_home,492
AkHa00172224,well,398
AkHa00173224,tap_in_home,838
AkHa00174224,well,360
AkHa00175224,well,280
AkHa00176224,tap_in_home,750
AkHa00177224,well,270
AkHa00178224,tap_in_home_broken,528
AkHa00179224,well,210
AkHa00180224,river,638
AkHa00181224,well,388
AkHa00182224,well,204
AkHa00183224,tap_in_home,922
AkHa00184224,well,388
AkHa00185224,well,256
AkHa00186224,well,214
AkHa00187224,well,276
AkHa00188224,river,676
AkHa00189224,well,234
AkHa00190224,tap_in_home,516
AkHa00191224,tap_in_home,666
AkHa00192224,tap_in_home,772
AkHa00193224,tap_in_home_broken,600
AkHa00194224,well,378
AkHa00195224,tap_in_home_broken,608
AkHa00196224,well,276
AkHa00197224,well,222
AkHa00198224,well,398
AkHa00199224,well,282
AkHa00200224,tap_in_home,858
AkHa00201224,tap_in_home,622
AkHa00202224,shared_tap,1600
AkHa00203224,tap_in_home,748
AkHa00204224,well,372
AkHa00205224,well,254
AkHa00206224,well,230
AkHa00207224,well,184
AkHa00208224,well,174
AkHa00209224,tap_in_home,584
AkHa00210224,well,178
AkHa00211224,tap_in_home,546
AkHa00212224,well,308
AkHa00213224,tap_in_home_broken,730
AkHa00214224,tap_in_home_broken,374
AkHa00215224,well,324
AkHa00216224,tap_in_home,312
AkHa00217224,well,304
AkHa00218224,tap_in_home,342
AkHa00219224,well,378
AkHa00220224,tap_in_home,820
AkHa00221224,tap_in_home,634
AkHa00222224,well,310
AkHa00223224,well,314
AkHa00224224,tap_in_home,504
AkHa00225224,well,336
AkHa00226224,well,242
AkHa00227224,well,366
AkHa00228224,well,310
AkHa00229224,well,278
AkHa00230224,tap_in_home,856
AkHa00231224,well,210
AkHa00232224,river,918
AkHa00233224,tap_in_home_broken,610
AkHa00234224,tap_in_home_broken,476
AkHa00235224,well,208
AkHa00236224,shared_tap,2632
AkHa00237224,tap_in_home_broken,670
AkHa00238224,well,174
AkHa00239224,well,162
AkHa00240224,tap_in_home,798
AkHa00241224,tap_in_home,754
AkHa00242224,well,378
AkHa00243224,well,316
AkHa00244224,well,352
AkHa00245224,tap_in_home,578
AkHa00246224,tap_in_home,714
AkHa00247224,well,252
AkHa00248224,river,442
AkHa00249224,well,186
AkHa00250224,tap_in_home_broken,688
AkHa00251224,shared_tap,2280
AkHa00252224,well,336
AkHa00253224,well,282
AkHa00254224,tap_in_home,514
AkHa00255224,well,258
AkHa00256224,tap_in_home_broken,706
AkHa00257224,tap_in_home,512
AkHa00258224,tap_in_home,676
AkHa00259224,shared_tap,3866
AkHa00260224,tap_in_home,536
AkHa00261224,well,260
AkHa00262224,well,390
AkHa00263224,shared_tap,3456
AkHa00264224,tap_in_home,560
AkHa00265224,well,274
AkHa00266224,well,186
AkHa00267224,well,162
AkHa00268224,tap_in_home,940
AkHa00269224,tap_in_home_broken,334
AkHa00270224,tap_in_home_broken,758
AkHa00271224,well,210
AkHa00272224,tap_in_home_broken,360
AkHa00273224,well,316
AkHa00274224,tap_in_home,790
AkHa00275224,tap_in_home,732
AkHa00276224,tap_in_home_broken,654
AkHa00277224,tap_in_home_broken,914
AkHa00278224,tap_in_home_broken,622
AkHa00279224,tap_in_home_broken,670
AkHa00280224,shared_tap,2754
AkHa00281224,tap_in_home,856
AkHa00282224,well,272
AkHa00283224,tap_in_home_broken,812
AkHa00284224,well,322
AkHa00285224,well,388
AkHa00286224,well,182
AkHa00287224,tap_in_home_broken,842
AkHa00288224,well,162
AkHa00289224,well,318
AkHa00290224,tap_in_home,320
AkHa00291224,shared_tap,1570
AkHa00292224,tap_in_home_broken,642
AkHa00293224,well,202
AkHa00294224,well,302
AkHa00295224,well,230
AkHa00296224,well,312
AkHa00297224,tap_in_home,344
AkHa00298224,well,238
AkHa00299224,well,334
AkHa00300224,tap_in_home_broken,764
AkHa00301224,tap_in_home_broken,484
AkHa00302224,well,160
AkHa00303224,well,284
AkHa00304224,well,346
AkHa00305224,well,372
AkHa00306224,tap_in_home_broken,710
AkHa00307224,well,398
AkHa00308224,tap_in_home_broken,934
AkHa00309224,well,384
AkHa00310224,tap_in_home,498
AkHa00311224,tap_in_home_broken,422
AkHa00312224,well,294
AkHa00313224,well,188
AkHa00314224,tap_in_home_broken,740
AkHa00315224,tap_in_home_broken,542
AkHa00316224,well,264
AkHa00317224,tap_in_home,850
AkHa00318224,well,240
AkHa00319224,well,394
AkHa00320224,shared_tap,3840
AkHa00321224,well,366
AkHa00322224,well,184
AkHa00323224,well,230
AkHa00324224,tap_in_home,426
AkHa00325224,well,298
AkHa00326224,well,308
AkHa00327224,tap_in_home,982
AkHa00328224,well,344
AkHa00329224,well,214
AkHa00330224,well,378
AkHa00331224,well,184
AkHa00332224,well,338
AkHa00333224,well,326
AkHa00334224,tap_in_home,356
AkHa00335224,well,300
AkHa00336224,well,192
AkHa00337224,well,262
AkHa00338224,well,386
AkHa00339224,tap_in_home_broken,784
AkHa00340224,well,292
AkHa00341224,tap_in_home,508
AkHa00342224,tap_in_home,446
AkHa00343224,well,192
AkHa00344224,tap_in_home,354
AkHa00345224,tap_in_home_broken,552
AkHa00346224,well,194
AkHa00347224,well,340
AkHa00348224,river,724
AkHa00349224,well,340
AkHa00350224,tap_in_home_broken,574
AkHa00351224,tap_in_home_broken,942
AkHa00352224,tap_in_home_broken,376
AkHa00353224,well,302
AkHa00354224,well,388
AkHa00355224,well,362
AkHa00356224,tap_in_home_broken,916
AkHa00357224,tap_in_home,390
AkHa00358224,well,216
AkHa00359224,tap_in_home,468
AkHa00360224,tap_in_home,784
AkHa00361224,well,270
AkHa00362224,tap_in_home,386
AkHa00363224,river,600
AkHa00364224,tap_in_home_broken,354
AkHa00365224,tap_in_home,608
AkHa00366224,tap_in_home_broken,700
AkHa00367224,well,292
AkHa00368224,tap_in_home_broken,844
AkHa00369224,well,352
AkHa00370224,tap_in_home_broken,504
AkHa00371224,well,302
AkHa00372224,well,196
AkHa00373224,shared_tap,2538
AkHa00374224,well,324
AkHa00375224,well,284
AkHa00376224,well,392
AkHa00377224,tap_in_home_broken,488
AkHa00378224,tap_in_home_broken,304
AkHa00379224,tap_in_home,648
AkHa00380224,well,322
AkHa00381224,tap_in_home_broken,970
AkHa00382224,well,240
AkHa00383224,well,172
AkHa00384224,well,192
AkHa00385224,tap_in_home,910
AkHa00386224,tap_in_home_broken,458
AkHa00387224,well,212
AkHa00388224,tap_in_home,516
AkHa00389224,well,330
AkHa00390224,tap_in_home_broken,884
AkHa00391224,well,250
AkHa00392224,tap_in_home,778
AkHa00393224,tap_in_home,816
AkHa00394224,shared_tap,854
AkHa00395224,tap_in_home_broken,722
AkHa00396224,well,254
AkHa00397224,tap_in_home,856
AkHa00398224,tap_in_home,718
AkHa00399224,tap_in_home_broken,756
AkHa00400224,tap_in_home,976
AkHa00401224,well,352
AkHa00402224,tap_in_home_broken,358
AkHa00403224,well,334
AkHa00404224,tap_in_home_broken,738
AkHa00405224,well,220
AkHa00406224,well,334
AkHa00407224,well,296
AkHa00408224,well,378
AkHa00409224,well,196
AkHa00410224,well,356
AkHa00411224,well,182
AkHa00412224,tap_in_home_broken,758
AkHa00413224,tap_in_home,482
AkHa00414224,well,242
AkHa00415224,tap_in_home,488
AkHa00416224,well,200
AkHa00417224,well,364
AkHa00418224,well,234
AkHa00419224,tap_in_home,964
AkHa00420224,well,168
AkHa00421224,well,296
AkHa00422224,well,186
AkHa00423224,tap_in_home_broken,526
AkHa00424224,well,364
AkHa00425224,tap_in_home,872
AkHa00426224,tap_in_home,474
AkHa00427224,well,260
AkHa00428224,shared_tap,510
AkHa00429224,tap_in_home,706
AkHa00430224,tap_in_home,874
AkHa00431224,tap_in_home_broken,630
AkHa00432224,tap_in_home,882
AkHa00433224,tap_in_home_broken,840
AkHa00434224,tap_in_home_broken,328
AkHa00435224,well,234
AkHa00436224,tap_in_home,600
AkHa00437224,tap_in_home,482
AkHa00438224,tap_in_home_broken,980
AkHa00439224,tap_in_home_broken,948
AkHa00440224,tap_in_home_broken,464
AkHa00441224,well,210
AkHa00442224,well,386
AkHa00443224,tap_in_home,822
AkHa00444224,well,284
AkHa00445224,well,292
AkHa00446224,tap_in_home,838
AkHa00447224,well,244
AkHa00448224,tap_in_home_broken,812
AkHa00449224,tap_in_home_broken,944
AkHa00450224,tap_in_home,560
AkHa00451224,well,350
AkHa00452224,well,316
AkHa00453224,well,340
AkHa00454224,tap_in_home_broken,726
AkHa00455224,well,196
AkHa00456224,well,394
AkHa00457224,well,216
AkHa00458224,well,292
AkHa00459224,well,256
AkHa00460224,shared_tap,2666
AkHa00461224,well,342
AkHa00462224,tap_in_home,986
AkHa00463224,well,304
AkHa00464224,tap_in_home,452
AkHa00465224,well,252
AkHa00466224,tap_in_home,904
AkHa00467224,well,274
AkHa00468224,well,274
AkHa00469224,well,386
AkHa00470224,well,332
AkHa00471224,tap_in_home_broken,498
AkHa00472224,tap_in_home,828
AkHa00473224,well,288
AkHa00474224,tap_in_home_broken,820
AkHa00475224,tap_in_home,756
AkHa00476224,well,362
AkHa00477224,well,272
AkHa00478224,well,164
AkHa00479224,tap_in_home_broken,778
AkHa00480224,tap_in_home,904
AkHa00481224,tap_in_home,460
AkHa00482224,tap_in_home_broken,670
AkHa00483224,well,244
AkHa00484224,well,272
AkHa00485224,tap_in_home_broken,806
AkHa00486224,well,242
AkHa00487224,well,344
AkHa00488224,tap_in_home_broken,800
AkHa00489224,well,370
AkHa00490224,tap_in_home,542
AkHa00491224,well,202
AkHa00492224,tap_in_home,506
AkHa00493224,tap_in_home,518
AkHa00494224,tap_in_home,924
AkHa00495224,well,390
AkHa00496224,well,334
AkHa00497224,tap_in_home_broken,816
AkHa00498224,tap_in_home,924
AkHa00499224,tap_in_home,718
AkHa00500224,tap_in_home_broken,732
AkHa00501224,well,202
AkHa00502224,river,842
AkHa00503224,well,336
AkHa00504224,tap_in_home,392
AkHa00505224,well,322
AkHa00506224,well,192
AkHa00507224,tap_in_home_broken,408
AkHa00508224,tap_in_home_broken,990
AkHa00509224,well,196
AkHa00510224,well,368
AkHa00511224,well,186
AkHa00512224,tap_in_home,418
AkHa00513224,well,166
AkHa00514224,well,336
AkHa00515224,tap_in_home_broken,408
AkHa00516224,well,308
AkHa00517224,well,290
AkHa00518224,tap_in_home_broken,654
AkHa00519224,tap_in_home,522
AkHa00520224,well,214
AkHa00521224,well,184
AkHa00522224,well,252
AkHa00523224,tap_in_home,618
AkHa00524224,tap_in_home,382
AkHa00525224,well,160
AkHa00526224,tap_in_home_broken,628
AkHa00527224,river,406
AkHa00528224,well,342
AkHa00529224,tap_in_home_broken,572
AkHa00530224,well,262
AkHa00531224,well,280
AkHa00532224,tap_in_home_broken,926
AkHa00533224,well,188
AkHa00534224,well,334
AkHa00535224,tap_in_home,796
AkHa00536224,well,350
AkHa00537224,tap_in_home_broken,680
AkHa00538224,tap_in_home,414
AkHa00539224,tap_in_home,666
AkHa00540224,well,340
AkHa00541224,tap_in_home,806
AkHa00542224,well,326
AkHa00543224,tap_in_home_broken,586
AkHa00544224,well,212
AkHa00545224,tap_in_home_broken,732
AkHa00546224,river,542
AkHa00547224,well,386
AkHa00548224,shared_tap,830
AkHa00549224,well,274
AkHa00550224,tap_in_home_broken,700
AkHa00551224,well,338
AkHa00552224,tap_in_home,416
AkHa00553224,well,324
AkHa00554224,well,384
AkHa00555224,well,186
AkHa00556224,well,302
AkHa00557224,well,172
AkHa00558224,well,184
AkHa00559224,tap_in_home,732
AkHa00560224,tap_in_home,368
AkHa00561224,tap_in_home_broken,536
AkHa00562224,well,356
AkHa00563224,well,240
AkHa00564224,well,192
AkHa00565224,well,372
AkHa00566224,well,246
AkHa00567224,tap_in_home_broken,542
AkHa00568224,tap_in_home_broken,696
AkHa00569224,well,300
AkHa00570224,tap_in_home_broken,570
AkHa00571224,well,184
AkHa00572224,tap_in_home_broken,518
AkHa00573224,tap_in_home,314
AkHa00574224,tap_in_home,398
AkHa00575224,shared_tap,2944
AkHa00576224,well,238
AkHa00577224,shared_tap,664
AkHa00578224,tap_in_home,400
AkHa00579224,well,262
AkHa00580224,tap_in_home_broken,700
AkHa00581224,tap_in_home,542
AkHa00582224,well,376
AkHa00583224,well,396
AkHa00584224,well,244
AkHa00585224,well,300
AkHa00586224,tap_in_home,738
AkHa00587224,well,190
AkHa00588224,tap_in_home_broken,950
AkHa00589224,tap_in_home,518
AkHa00590224,well,286
AkHa00591224,well,328
AkHa00592224,well,372
AkHa00593224,well,294
AkHa00594224,tap_in_home_broken,990
AkHa00595224,well,292
AkHa00596224,well,162
AkHa00597224,river,602
AkHa00598224,tap_in_home_broken,482
AkHa00599224,tap_in_home,310
AkHa00600224,well,332
AkHa00601224,tap_in_home_broken,394
AkHa00602224,tap_in_home_broken,422
AkHa00603224,tap_in_home,518
AkHa00604224,well,162
AkHa00605224,tap_in_home,418
AkHa00606224,tap_in_home,660
AkHa00607224,tap_in_home,754
AkHa00608224,tap_in_home_broken,862
AkHa00609224,well,268
AkHa00610224,well,196
AkHa00611224,tap_in_home,406
AkHa00612224,tap_in_home_broken,412
AkHa00613224,shared_tap,3082
AkHa00614224,shared_tap,398
AkHa00615224,well,394
AkHa00616224,tap_in_home,752
AkHa00617224,tap_in_home_broken,656
AkHa00618224,well,258
AkHa00619224,tap_in_home_broken,670
AkHa00620224,tap_in_home_broken,494
AkHa00621224,well,226
AkHa00622224,well,232
AkHa00623224,tap_in_home,888
AkHa00624224,well,232
AkHa00625224,tap_in_home,490
AkHa00626224,tap_in_home,792
AkHa00627224,tap_in_home_broken,584
AkHa00628224,tap_in_home_broken,526
AkHa00629224,tap_in_home_broken,654
AkHa00630224,tap_in_home_broken,342
AkHa00631224,shared_tap,3664
AkHa00632224,well,398
AkHa00633224,well,210
AkHa00634224,tap_in_home_broken,636
AkHa00635224,tap_in_home,514
AkHa00636224,well,192
AkHa00637224,well,162
AkHa00638224,well,344
AkHa00639224,well,222
AkHa00640224,well,208
AkHa00641224,tap_in_home,848
AkHa00642224,well,336
AkHa00643224,well,386
AkHa00644224,tap_in_home_broken,668
AkHa00645224,tap_in_home,794
AkHa00646224,well,250
AkHa00647224,tap_in_home,982
AkHa00648224,well,224
AkHa00649224,tap_in_home_broken,804
AkHa00650224,tap_in_home,746
AkHa00651224,tap_in_home,952
AkHa00652224,tap_in_home_broken,808
AkHa00653224,well,184
AkHa00654224,well,298
AkHa00655224,river,662
AkHa00656224,tap_in_home,426
AkHa00657224,tap_in_home,826
AkHa00658224,well,212
AkHa00659224,well,362
AkHa00660224,well,256
AkHa00661224,tap_in_home_broken,930
AkHa00662224,well,166
AkHa00663224,well,188
AkHa00664224,tap_in_home,724
AkHa00665224,tap_in_home,842
AkHa00666224,well,204
AkHa00667224,well,316
AkHa00668224,shared_tap,3830
AkHa00669224,well,180
AkHa00670224,tap_in_home_broken,656
AkHa00671224,well,186
AkHa00672224,tap_in_home_broken,586
AkHa00673224,well,374
AkHa00674224,well,368
AkHa00675224,tap_in_home,324
AkHa00676224,well,356
AkHa00677224,tap_in_home_broken,504
AkHa00678224,tap_in_home_broken,806
AkHa00679224,tap_in_home_broken,990
AkHa00680224,tap_in_home,402
AkHa00681224,well,306
AkHa00682224,tap_in_home,620
AkHa00683224,well,194
AkHa00684224,tap_in_home,878
AkHa00685224,tap_in_home,568
AkHa00686224,well,184
AkHa00687224,tap_in_home_broken,646
AkHa00688224,tap_in_home,884
AkHa00689224,well,340
AkHa00690224,tap_in_home,438
AkHa00691224,tap_in_home_broken,770
AkHa00692224,tap_in_home,764
AkHa00693224,tap_in_home,328
AkHa00694224,tap_in_home_broken,800
AkHa00695224,tap_in_home_broken,362
AkHa00696224,river,514
AkHa00697224,tap_in_home,570
AkHa00698224,well,196
AkHa00699224,well,328
AkHa00700224,tap_in_home_broken,684
AkHa00701224,tap_in_home,382
AkHa00702224,tap_in_home,738
AkHa00703224,well,348
AkHa00704224,tap_in_home,818
AkHa00705224,well,244
AkHa00706224,well,238
AkHa00707224,tap_in_home,694
AkHa00708224,well,244
AkHa00709224,well,232
AkHa00710224,well,160
AkHa00711224,well,336
AkHa00712224,tap_in_home,832
AkHa00713224,tap_in_home_broken,578
AkHa00714224,well,212
AkHa00715224,well,172
AkHa00716224,well,366
AkHa00717224,well,254
AkHa00718224,well,274
AkHa00719224,well,364
AkHa00720224,well,312
AkHa00721224,shared_tap,984
AkHa00722224,tap_in_home_broken,300
AkHa00723224,tap_in_home_broken,466
AkHa00724224,shared_tap,3874
AkHa00725224,tap_in_home,992
AkHa00726224,tap_in_home,792
AkHa00727224,tap_in_home,992
AkHa00728224,well,186
AkHa00729224,tap_in_home_broken,640
AkHa00730224,tap_in_home_broken,952
AkHa00731224,well,384
AkHa00732224,tap_in_home_broken,382
AkHa00733224,tap_in_home,496
AkHa00734224,well,180
AkHa00735224,well,222
AkHa00736224,tap_in_home_broken,752
AkHa00737224,well,392
AkHa00738224,tap_in_home_broken,712
AkHa00739224,well,186
AkHa00740224,tap_in_home_broken,314
AkHa00741224,well,214
AkHa00742224,well,184
AkHa00743224,shared_tap,258
AkHa00744224,well,352
AkHa00745224,well,394
AkHa00746224,well,374
AkHa00747224,well,270
AkHa00748224,tap_in_home_broken,692
AkHa00749224,well,330
AkHa00750224,well,264
AkHa00751224,tap_in_home_broken,798
AkHa00752224,well,360
AkHa00753224,well,166
AkHa00754224,tap_in_home,306
AkHa00755224,tap_in_home_broken,304
AkHa00756224,shared_tap,564
AkHa00757224,well,290
AkHa00758224,well,352
AkHa00759224,tap_in_home_broken,886
AkHa00760224,well,394
AkHa00761224,tap_in_home,706
AkHa00762224,tap_in_home,494
AkHa00763224,well,192
AkHa00764224,well,232
AkHa00765224,well,318
AkHa00766224,well,380
AkHa00767224,well,324
AkHa00768224,well,258
AkHa00769224,well,308
AkHa00770224,well,240
AkHa00771224,well,336
AkHa00772224,tap_in_home_broken,474
AkHa00773224,well,224
AkHa00774224,tap_in_home,362
AkHa00775224,tap_in_home_broken,636
AkHa00776224,well,206
AkHa00777224,tap_in_home,538
AkHa00778224,tap_in_home_broken,556
AkHa00779224,well,224
AkHa00780224,tap_in_home,734
AkHa00781224,tap_in_home_broken,952
AkHa00782224,shared_tap,3906
AkHa00783224,well,294
AkHa00784224,tap_in_home_broken,830
AkHa00785224,tap_in_home,326
AkHa00786224,tap_in_home_broken,542
AkHa00787224,shared_tap,2144
AkHa00788224,well,268
AkHa00789224,well,286
AkHa00790224,tap_in_home,672
AkHa00791224,tap_in_home_broken,322
AkHa00792224,tap_in_home_broken,326
AkHa00793224,tap_in_home,970
AkHa00794224,tap_in_home,366
AkHa00795224,well,222
AkHa00796224,tap_in_home_broken,626
AkHa00797224,tap_in_home,520
AkHa00798224,tap_in_home,458
AkHa00799224,well,366
AkKi00800224,tap_in_home_broken,552
AkKi00801224,well,220
AkKi00802224,tap_in_home,492
AkKi00803224,well,314
AkKi00804224,tap_in_home,924
AkKi00805224,shared_tap,850
AkKi00806224,tap_in_home,992
AkKi00807224,tap_in_home,350
AkKi00808224,tap_in_home_broken,606
AkKi00809224,well,160
AkKi00810224,well,318
AkKi00811224,tap_in_home_broken,542
AkKi00812224,tap_in_home_broken,306
AkKi00813224,tap_in_home,360
AkKi00814224,well,292
AkKi00815224,well,372
AkKi00816224,tap_in_home,394
AkKi00817224,tap_in_home_broken,448
AkKi00818224,tap_in_home,606
AkKi00819224,tap_in_home,466
AkKi00820224,well,304
AkKi00821224,tap_in_home,882
AkKi00822224,well,320
AkKi00823224,well,276
AkKi00824224,tap_in_home,644
AkKi00825224,tap_in_home_broken,672
AkKi00826224,tap_in_home,350
AkKi00827224,tap_in_home,578
AkKi00828224,well,364
AkKi00829224,well,180
AkKi00830224,tap_in_home,942
AkKi00831224,tap_in_home_broken,886
AkKi00832224,tap_in_home_broken,870
AkKi00833224,well,172
AkKi00834224,well,300
AkKi00835224,tap_in_home_broken,418
AkKi00836224,well,372
AkKi00837224,well,268
AkKi00838224,well,318
AkKi00839224,well,372
AkKi00840224,tap_in_home,804
AkKi00841224,well,266
AkKi00842224,well,336
AkKi00843224,well,210
AkKi00844224,tap_in_home_broken,438
AkKi00845224,tap_in_home_broken,456
AkKi00846224,tap_in_home,608
AkKi00847224,well,294
AkKi00848224,tap_in_home_broken,716
AkKi00849224,tap_in_home,936
AkKi00850224,well,268
AkKi00851224,tap_in_home,404
AkKi00852224,tap_in_home_broken,330
AkKi00853224,tap_in_home,610
AkKi00854224,tap_in_home_broken,892
AkKi00855224,tap_in_home_broken,748
AkKi00856224,well,238
AkKi00857224,tap_in_home_broken,588
AkKi00858224,well,310
AkKi00859224,well,192
AkKi00860224,tap_in_home_broken,876
AkKi00861224,tap_in_home_broken,456
AkKi00862224,tap_in_home_broken,412
AkKi00863224,well,306
AkKi00864224,well,262
AkKi00865224,well,264
AkKi00866224,well,218
AkKi00867224,shared_tap,308
AkKi00868224,tap_in_home,568
AkKi00869224,well,196
AkKi00870224,well,228
AkKi00871224,tap_in_home,994
AkKi00872224,tap_in_home_broken,570
AkKi00873224,well,164
AkKi00874224,tap_in_home_broken,908
AkKi00875224,tap_in_home_broken,398
AkKi00876224,tap_in_home,846
AkKi00877224,well,272
AkKi00878224,well,190
AkKi00879224,tap_in_home,648
AkKi00880224,well,340
AkKi00881224,shared_tap,3398
AkKi00882224,tap_in_home,706
AkKi00883224,well,164
AkKi00884224,well,214
AkKi00885224,well,316
AkKi00886224,tap_in_home_broken,870
AkKi00887224,well,216
AkKi00888224,well,358
AkKi00889224,well,382
AkKi00890224,shared_tap,2182
AkKi00891224,tap_in_home,846
AkKi00892224,tap_in_home_broken,592
AkKi00893224,tap_in_home,782
AkKi00894224,tap_in_home,636
AkKi00895224,tap_in_home_broken,492
AkKi00896224,well,356
AkKi00897224,tap_in_home_broken,752
AkKi00898224,well,242
AkKi00899224,well,256
AkKi00900224,tap_in_home,806
AkKi00901224,tap_in_home_broken,790
AkKi00902224,tap_in_home_broken,528
AkKi00903224,tap_in_home_broken,904
AkKi00904224,well,188
AkKi00905224,well,234
AkKi00906224,well,302
AkKi00907224,tap_in_home_broken,336
AkKi00908224,tap_in_home_broken,316
AkKi00909224,well,178
AkKi00910224,well,302
AkKi00911224,shared_tap,410
AkKi00912224,tap_in_home,590
AkKi00913224,well,296
AkKi00914224,well,302
AkKi00915224,well,242
AkKi00916224,tap_in_home,942
AkKi00917224,tap_in_home_broken,358
AkKi00918224,well,268
AkKi00919224,well,360
AkKi00920224,tap_in_home,978
AkKi00921224,well,222
